Station,Category,Class,Order,Family,Subfamily,Genus,Species,Taxonomie
2,NA,Actinopterygii,Perciformes,Ammodytidae,-,-,-,Ammodytidae 1
2,NA,Actinopterygii,Perciformes,Ammodytidae,-,-,-,Ammodytidae 3
2,NA,Actinopterygii,Perciformes,Labridae,-,Centrolabrus,exoletus,Centrolabrus exoletus
2,NA,Actinopterygii,Perciformes,Labridae,-,Ctenolabrus,rupestris,Ctenolabrus rupestris
2,NA,Actinopterygii,Salmoniformes,Salmonidae,Salmoninae,Salmo,trutta,Salmo trutta
2,NA,Actinopterygii,Clupeiformes,Alosidae,-,Sardina,pilchardus,Sardina pilchardus
2,NA,Actinopterygii,Scorpaeniformes,-,-,-,-,Scorpaenoidei 1
3,-,Amphibia,Anura,Bufonidae,-,Bufo,spinosus,Bufo spinosus
3,-,Aves,-,-,-,-,-,Aves
3,-,Aves,Anseriformes,Anatidae,-,-,-,Anatidae 1
3,-,Aves,Anseriformes,Anatidae,-,-,-,Anatidae 2
3,-,Aves,Anseriformes,Anatidae,Tadorninae,Tadorna,-,Tadorna sp.
3,-,Aves,Charadriiformes,-,-,-,-,Charadriiformes
3,-,Aves,Charadriiformes,Haematopodidae,-,Haematopus,ostralegus,Haematopus ostralegus 1
3,-,Aves,Charadriiformes,Laridae,-,-,-,Laridae 1
3,-,Aves,Charadriiformes,Scolopacidae,-,-,-,Scolopacidae 1
3,-,Aves,Charadriiformes,Scolopacidae,-,-,-,Scolopacidae 2
3,-,Aves,Charadriiformes,Scolopacidae,,Numenius,-,Numenius sp.
3,-,Aves,Columbiformes,Columbidae,-,-,-,Columbidae
3,-,Aves,Gruiformes,Rallidae,-,Fulica,atra,Fulica atra
3,-,Aves,Gruiformes,Rallidae,-,Gallinula,chloropus,Gallinula chloropus
3,-,Aves,Passeriformes,Sturnidae,-,Sturnus,vulgaris,Sturnus vulgaris
3,-,Aves,Passeriformes,-,-,-,-,Passeriformes 3
3,-,Aves,Passeriformes,-,-,-,-,Passeriformes 4
3,-,Aves,Passeriformes,Corvidae,-,-,-,Corvidae
3,-,Aves,Podicipediformes,Podicipedidae,-,Podiceps,cristatus,Podiceps cristatus
3,-,Aves,Suliformes,Phalacrocidae,-,Phalacrocorax,carbo,Phalacrocorax carbo 1
3,-,Aves,Suliformes,Phalacrocoracidae,-,Phalacrocorax,carbo,Phalacrocorax carbo 2
3,-,Mammalia,Artiodactyla,Cervidae,Capreolinae,Capreolus,capreolus,Capreolus capreolus
3,-,Mammalia,Carnivora,Phocidae,-,-,-,Phocidae
3,-,Mammalia,Cetacea,Delphinidae,Delphininae,-,-,Delphininae 1
3,-,Mammalia,Rodentia,Cricetidae,Arvicolinae,Ondatra,zibethicus,Ondatra zibethicus
3,-,Mammalia,Rodentia,Muridae,Murinae,Apodemus,sylvaticus,Apodemus sylvaticus
3,-,Mammalia,Rodentia,Muridae,Murinae,Rattus,norvegicus,Rattus norvegicus
3,-,Mammalia,Rodentia,Myocastoridae,-,Myocastor,coypus,Myocastor coypus
3,-,Mammalia,Soricomorphes,Talpidae,Talpinae,Talpa,europaea,Talpa europaea
3,DIA,Actinopterygii,Anguilliformes,Anguillidae,-,Anguilla,anguilla,Anguilla anguilla 1
3,DIA,Actinopterygii,Anguilliformes,Anguillidae,-,Anguilla,anguilla,Anguilla anguilla 2
3,DIA,Actinopterygii,Clupeiformes,Alosidae,-,Sardina,pilchardus,Sardina pilchardus
3,ER,Actinopterygii,Atheriniformes,Atherinidae,Atherininae,Atherina,presbyter,Atherina presbyter
3,ER,Actinopterygii,Blenniiformes,Blenniidae,Salariinae,Lipophrys,pholis,Lipophrys pholis
3,ER,Actinopterygii,Blenniiformes,Blenniidae,Salariinae,Parablennius,gattorugine,Parablennius gattorugine
3,ER,Actinopterygii,Callionymiformes,Callionymidae,-,Callionymus,lyra,Callionymus lyra
3,ER,Actinopterygii,Gobiiformes,Gobiidae,Gobiinae,Pomatoschistus,-,Pomatoschistus sp. 1
3,ER,Actinopterygii,Gobiiformes,Gobiidae,Gobionellinae,Pomatoschistus,-,Pomatoschistus sp. 2
3,ER,Actinopterygii,Gobiiformes,Gobiidae,Gobionellinae,Pomatoschistus,-,Pomatoschistus sp. 3
3,ER,Actinopterygii,Mugiliformes,Mugilidae,-,Chelon,-,Chelon sp.
3,ER,Actinopterygii,Perciformes,Ammodytidae,-,-,-,Ammodytidae 3
3,ER,Actinopterygii,Perciformes,Percidae,-,-,-,Percidae
3,ER,Actinopterygii,Perciformes,Percidae,Percinae,Gymnocephalus,cernua,Gymnocephalus cernua
3,ER,Actinopterygii,Cypriniformes,Cyprinidae,-,-,-,Cyprinidae
3,MA,Actinopterygii,Perciformes,Labridae,-,Symphodus,melops,Symphodus melops
3,MA,Actinopterygii,Perciformes,Moronidae,-,Dicentrarchus,labrax,Dicentrarchus labrax
3,MA,Actinopterygii,Pleuronectiformes,Scophthalmidae,-,Zeugopterus,-,Zeugopterus sp. 
3,MJ,Actinopterygii,Clupeiformes,Clupeidae,-,-,-,Clupeidae
3,MJ,Actinopterygii,Cypriniformes,Cyprinidae,-,-,-,Cyprinidae 2
3,MJ,Actinopterygii,Perciformes,Sparidae,-,Sparus,aurata,Sparus aurata
3,MJ,Actinopterygii,Pleuronectiformes,Soleidae,-,Solea,solea,Solea solea
3,MJ,Actinopterygii,"Scorpae,iformes",Triglidae,Triglinae,-,-,Triglinae
3,NA,Actinopterygii,Cypriniformes,Cyprinidae,Cyprininae,Cyprinus,carpio,Cyprinus carpio
3,NA,Actinopterygii,Cypriniformes,Leuciscidae,Leuciscinae,-,-,Leuciscinae
3,NA,Actinopterygii,Perciformes,Labridae,-,Labrus,bergylta,Labrus bergylta
3,NA,Actinopterygii,Perciformes,Labridae,-,Symphodus,bailloni,Symphodus bailloni
3,NA,Actinopterygii,Salmoniformes,Salmonidae,Salmoninae,Salmo,trutta,Salmo trutta
3,NA,Actinopterygii,Salmoniformes,Salmonidae,Salmoninae,Salmo,salar,Salmo salar
3,NA,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathinae,Syngnathus,acus,Syngnathus acus
3,NA,Actinopterygii,Perciformes,Ammodytidae,-,Gymnammodytes,semisquamatus,Gymnammodytes semisquamatus
4,-,Amphibia,Anura,Bufonidae,-,Bufo,spinosus,Bufo spinosus
4,-,Aves,Anseriformes,Anatidae,-,-,-,Anatidae 1
4,-,Aves,Anseriformes,Anatidae,-,-,-,Anatidae 2
4,-,Aves,Anseriformes,Anatidae,Tadorninae,Tadorna,-,Tadorna sp.
4,-,Aves,Charadriiformes,Laridae,-,-,-,Laridae 1
4,-,Aves,Charadriiformes,Scolopacidae,-,-,-,Scolopacidae 1
4,-,Aves,Charadriiformes,Scolopacidae,-,-,-,Scolopacidae 2
4,-,Aves,Charadriiformes,Scolopacidae,,Numenius,-,Numenius sp.
4,-,Aves,Columbiformes,Columbidae,-,-,-,Columbidae
4,-,Aves,Galliformes,Phasianidae,Perdicinae,Alectoris,rufa,Alectoris rufa
4,-,Aves,Gruiformes,Rallidae,-,Fulica,atra,Fulica atra
4,-,Aves,Gruiformes,Rallidae,-,Gallinula,chloropus,Gallinula chloropus
4,-,Aves,Passeriformes,-,-,-,-,Passeriformes 3
4,-,Aves,Passeriformes,Corvidae,-,-,-,Corvidae
4,-,Aves,Passeriformes,Corvidae,Corvinae,Garrulus,glandarius,Garrulus glandarius
4,-,Aves,Pelecaniformes,Ardeidae,,-,-,Ardeidae
4,-,Aves,Podicipediformes,Podicipedidae,-,Podiceps,cristatus,Podiceps cristatus
4,-,Aves,Suliformes,Phalacrocidae,-,Phalacrocorax,carbo,Phalacrocorax carbo 1
4,-,Aves,Suliformes,Phalacrocoracidae,-,Phalacrocorax,carbo,Phalacrocorax carbo 2
4,-,Mammalia,Artiodactyla,Cervidae,Capreolinae,Capreolus,capreolus,Capreolus capreolus
4,-,Mammalia,Carnivora,Canidae,Caninae,Vulpes,vulpes,Vulpes vulpes
4,-,Mammalia,Carnivora,Phocidae,,-,-,Phocidae
4,-,Mammalia,Cetacea,Delphinidae,Delphininae,-,-,Delphininae 1
4,-,Mammalia,Rodentia,Cricetidae,Arvicolinae,Myodes,glareolus,Myodes glareolus
4,-,Mammalia,Rodentia,Cricetidae,Arvicolinae,Ondatra,zibethicus,Ondatra zibethicus
4,-,Mammalia,Rodentia,Muridae,Murinae,Apodemus,sylvaticus,Apodemus sylvaticus
4,-,Mammalia,Rodentia,Muridae,Murinae,Rattus,norvegicus,Rattus norvegicus
4,-,Mammalia,Rodentia,Myocastoridae,-,Myocastor,coypus,Myocastor coypus
4,DIA,Actinopterygii,Anguilliformes,Anguillidae,-,Anguilla,anguilla,Anguilla anguilla 2
4,DIA,Actinopterygii,Perciformes,Ammodytidae,-,Gymnammodytes,semisquamatus,Gymnammodytes semisquamatus
4,ER,Actinopterygii,Atheriniformes,Atherinidae,Atherininae,Atherina,presbyter,Atherina presbyter
4,ER,Actinopterygii,Blenniiformes,Blenniidae,Salariinae,Parablennius,gattorugine,Parablennius gattorugine
4,ER,Actinopterygii,Callionymiformes,Callionymidae,-,Callionymus,lyra,Callionymus lyra
4,ER,Actinopterygii,Gobiiformes,Gobiidae,Gobiinae,Pomatoschistus,-,Pomatoschistus sp. 1
4,ER,Actinopterygii,Gobiiformes,Gobiidae,Gobionellinae,Pomatoschistus,-,Pomatoschistus sp. 2
4,ER,Actinopterygii,Gobiiformes,Gobiidae,Gobionellinae,Pomatoschistus,-,Pomatoschistus sp. 3
4,ER,Actinopterygii,Mugiliformes,Mugilidae,-,Chelon,-,Chelon sp.
4,ER,Actinopterygii,Perciformes,Ammodytidae,-,-,-,Ammodytidae 3
4,ER,Actinopterygii,Perciformes,Percidae,Percinae,Gymnocephalus,cernua,Gymnocephalus cernua
4,ER,Actinopterygii,Cypriniformes,Cyprinidae,-,-,-,Cyprinidae
4,MA,Actinopterygii,Perciformes,Labridae,-,Symphodus,bailloni,Symphodus bailloni
4,MA,Actinopterygii,Perciformes,Moronidae,-,Dicentrarchus,labrax,Dicentrarchus labrax
4,MA,Actinopterygii,Perciformes,Percidae,-,-,-,Percidae
4,MA,Actinopterygii,Pleuronectiformes,Soleidae,-,Solea,solea,Solea solea
4,MA,Actinopterygii,Salmoniformes,Salmonidae,Salmoninae,Salmo,trutta,Salmo trutta
4,MJ,Actinopterygii,Clupeiformes,Clupeidae,-,-,-,Clupeidae
4,MJ,Actinopterygii,Cypriniformes,Cyprinidae,Cyprininae,-,-,Cyprininae
4,MJ,Actinopterygii,Perciformes,Scombridae,Scombrinae,Scomber,scombrus,Scomber scombrus
4,MJ,Actinopterygii,Syngnathiformes,Syngnathidae,Nerophinae,Nerophis,lumbriciformis,Nerophis lumbriciformis
4,MS,Actinopterygii,Beloniformes,Belonidae,,Belone,belone,Belone belone
4,NA,Actinopterygii,Cypriniformes,Cyprinidae,Cyprininae,Cyprinus,carpio,Cyprinus carpio
4,NA,Actinopterygii,Perciformes,Labridae,-,Ctenolabrus,rupestris,Ctenolabrus rupestris
4,NA,Actinopterygii,Perciformes,Labridae,-,Labrus,bergylta,Labrus bergylta
4,NA,Actinopterygii,Salmoniformes,Salmonidae,Salmoninae,Salmo,salar,Salmo salar
4,NA,Actinopterygii,Clupeiformes,Alosidae,-,Sardina,pilchardus,Sardina pilchardus
4,NA,"Actinopterygii














































",Scorpaeniformes,-,-,-,-,Scorpaenoidei 2
5,-,Amphibia,Anura,Bufonidae,-,Bufo,spinosus,Bufo spinosus
5,-,Amphibia,Caudata,Salamandridae,Pleurodelinae,Lissotriton,helveticus,Lissotriton helveticus
5,-,Amphibia,Caudata,Salamandridae,Salamandrinae,Salamandra,salamandra,Salamandra salamandra
5,-,Aves,-,-,-,-,-,Aves
5,-,Aves,Accipitriformes,Accipitridae,-,Buteo,buteo,Buteo buteo
5,-,Aves,Anseriformes,Anatidae,-,-,-,Anatidae 1
5,-,Aves,Anseriformes,Anatidae,-,-,-,Anatidae 2
5,-,Aves,Anseriformes,Anatidae,Anatinae,Aix,galericulata,Aix galericulata
5,-,Aves,Charadriiformes,Laridae,-,-,-,Laridae 1
5,-,Aves,Charadriiformes,Laridae,-,-,-,Laridae 2
5,-,Aves,Columbiformes,Columbidae,-,-,-,Columbidae
5,-,Aves,Gruiformes,Rallidae,-,Fulica,atra,Fulica atra
5,-,Aves,Gruiformes,Rallidae,-,Gallinula,chloropus,Gallinula chloropus
5,-,Aves,Passeriformes,Sturnidae,-,Sturnus,vulgaris,Sturnus vulgaris
